Nome do equipamento,Funcionário atribuído,Número de série,Categoria de equipamento,Custo,Modelo
GULI's Headset,Guilherme Lima (guli),HE7UR23GDPPQ0Y9D,Headset,223.75,Logitech H390 USB
GULI's Notebook,Guilherme Lima (guli),OM5IGQPKI7,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
GULI's Livros,Guilherme Lima (guli),P5TB94874FRHO,Livros,53.92,
VILI's Headset,Vitor Lima (vili),CN9J2QP89UZFK8UT,Headset,223.75,Logitech H390 USB
VILI's Notebook,Vitor Lima (vili),0CVS4F8CGV,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
PATE's Headset,Paulo Teixeira (pate),YIE6IVWPVS7HZIOY,Headset,191.25,Plantronics Blackwire 3220
PATE's Armário (62),Paulo Teixeira (pate),,Armário,0.00,
CATE's Headset,Camila Teixeira (cate),KL1CQ99CHJ755NF4,Headset,223.75,Logitech H390 USB
CATE's Notebook,Camila Teixeira (cate),ZW9XA3KX7E,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
CATE's Armário (116),Camila Teixeira (cate),,Armário,0.00,
LACO's Headset,Laura Correia (laco),EDTJVZHWJR64DPJA,Headset,191.25,Plantronics Blackwire 3220
LACO's Notebook,Laura Correia (laco),1WJ0TPAC56,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
LACO's Estacionamento,Laura Correia (laco),,Estacionamento,0.00,
ANXA's Notebook,Antonio Xavier (anxa),T4UFEL6246,Notebook,"4,326.40",ASUS VivoBook 15 - Intel Core i7
ANXA's Headset,Antonio Xavier (anxa),HID25OWF75935A0L,Headset,191.25,Plantronics Blackwire 3220
ANXA's Armário (117),Antonio Xavier (anxa),,Armário,0.00,
SAMO's Headset,Sandra Monteiro (samo),7253J2D54I3QK2IA,Headset,191.25,Plantronics Blackwire 3220
SAMO's Notebook,Sandra Monteiro (samo),GL58KXO9T7,Notebook,"4,819.54",Samsung Galaxy Book Go - Intel Core i5
FEAL's Armário (123),Fernanda Alves (feal),,Armário,0.00,
MAAR's Headset,Mateus Araújo (maar),E8G8JDP0LVSNUJZA,Headset,223.75,Logitech H390 USB
MAAR's Notebook,Mateus Araújo (maar),7TZ0YNCXLL,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
LEBO's Armário (77),Leonardo Borges (lebo),,Armário,0.00,
LUME's Notebook,Lucas Melo (lume),4ZKLOOKEP7,Notebook,"3,844.71",Lenovo IdeaPad 3 - Intel Core i5
LUME's Headset,Lucas Melo (lume),Y6WKTAKPUXQPHR62,Headset,191.25,Plantronics Blackwire 3220
LUME's Armário (139),Lucas Melo (lume),,Armário,0.00,
PEME's Notebook,Pedro Melo (peme),GDSWM31YIH,Notebook,"4,514.18",Acer Aspire 5 - Intel Core i7
