user_id,team_id,manager_id,user_name,manager_name,team_name,report_date,day_type,billable_hours,expected_billable_hours,discount_hours,skip_record,is_rampup
1822016,2286488,2286488,Victor Teixeira (vite),Paulo Guimarães (pagu),Nebula,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,true
4558699,1527904,1527904,Leticia Borges (lebo),Giovanna Teixeira (gite),Vortex,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
1955654,8211895,8211895,Ricardo Carvalho (rica),Bruno Barbosa (brba),Catalyst,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
9853487,7306140,7306140,Marcelo Batista (maba),Henrique Ribeiro (heri),Zenith,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
1371017,1527904,1527904,Thiago Correia (thco),Giovanna Teixeira (gite),Vortex,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
3011510,1527904,1527904,Yuri Guimarães (yugu),Giovanna Teixeira (gite),Vortex,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
3144625,1527904,1527904,Carlos Moraes (camo),Giovanna Teixeira (gite),Vortex,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
5545591,2286488,2286488,Luiza Rocha (luro),Paulo Guimarães (pagu),Nebula,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
3700238,1076853,1076853,Simone Medeiros (sime),Renata Silva (resi),Momentum,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
6755147,3124395,3124395,Clara Barros (clba),Yuri Pereira (yupe),Horizon,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
2014660,1527904,1527904,Natalia Araújo (naar),Giovanna Teixeira (gite),Vortex,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
9651226,2838286,2838286,Rafael Freitas (rafr),Larissa Campos (laca),Solaris,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
7323459,3124395,3124395,Vanessa Castro (vaca),Yuri Pereira (yupe),Horizon,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
2453712,1076853,1076853,Helena Moreira (hemo),Renata Silva (resi),Momentum,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
6040292,1076853,1076853,Roberto Souza (roso),Renata Silva (resi),Momentum,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
2322236,8211895,8211895,Monica Ferreira (mofe),Bruno Barbosa (brba),Catalyst,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
7031905,8211895,8211895,Henrique Neves (hene),Bruno Barbosa (brba),Catalyst,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
8613572,7306140,7306140,Marcos Melo (mame),Henrique Ribeiro (heri),Zenith,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
1085302,2838286,2838286,Karen Figueiredo (kafi),Larissa Campos (laca),Solaris,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
1791175,2286488,2286488,Mateus Duarte (madu),Paulo Guimarães (pagu),Nebula,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
8547217,1076853,1076853,Leonardo Ramos (lera),Renata Silva (resi),Momentum,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
3497192,7306140,7306140,Antonio Santos (ansa),Henrique Ribeiro (heri),Zenith,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
9313495,2838286,2838286,Daniel Costa (daco),Larissa Campos (laca),Solaris,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
7789549,3124395,3124395,Vitor Coelho (vico),Yuri Pereira (yupe),Horizon,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
9944181,8211895,8211895,Mariana Lopes (malo),Bruno Barbosa (brba),Catalyst,2026-01-01,HOLLIDAY,0.00,0.00,0.00,false,false
1822016,2286488,2286488,Victor Teixeira (vite),Paulo Guimarães (pagu),Nebula,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,true
4558699,1527904,1527904,Leticia Borges (lebo),Giovanna Teixeira (gite),Vortex,2026-01-02,BUSINESS DAY,5.50,4.50,0.00,false,false
1955654,8211895,8211895,Ricardo Carvalho (rica),Bruno Barbosa (brba),Catalyst,2026-01-02,BUSINESS DAY,3.00,4.50,0.00,false,false
9853487,7306140,7306140,Marcelo Batista (maba),Henrique Ribeiro (heri),Zenith,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
1371017,1527904,1527904,Thiago Correia (thco),Giovanna Teixeira (gite),Vortex,2026-01-02,BUSINESS DAY,7.00,4.50,0.00,false,false
3011510,1527904,1527904,Yuri Guimarães (yugu),Giovanna Teixeira (gite),Vortex,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
3144625,1527904,1527904,Carlos Moraes (camo),Giovanna Teixeira (gite),Vortex,2026-01-02,BUSINESS DAY,6.50,4.50,0.00,false,false
5545591,2286488,2286488,Luiza Rocha (luro),Paulo Guimarães (pagu),Nebula,2026-01-02,BUSINESS DAY,4.75,4.50,0.00,false,false
3700238,1076853,1076853,Simone Medeiros (sime),Renata Silva (resi),Momentum,2026-01-02,BUSINESS DAY,7.25,4.50,0.00,false,false
6755147,3124395,3124395,Clara Barros (clba),Yuri Pereira (yupe),Horizon,2026-01-02,BUSINESS DAY,2.25,4.50,0.00,false,false
2014660,1527904,1527904,Natalia Araújo (naar),Giovanna Teixeira (gite),Vortex,2026-01-02,BUSINESS DAY,5.50,4.50,0.00,false,false
9651226,2838286,2838286,Rafael Freitas (rafr),Larissa Campos (laca),Solaris,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
7323459,3124395,3124395,Vanessa Castro (vaca),Yuri Pereira (yupe),Horizon,2026-01-02,BUSINESS DAY,4.50,4.50,0.00,false,false
2453712,1076853,1076853,Helena Moreira (hemo),Renata Silva (resi),Momentum,2026-01-02,BUSINESS DAY,4.50,4.50,0.00,false,false
6040292,1076853,1076853,Roberto Souza (roso),Renata Silva (resi),Momentum,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
2322236,8211895,8211895,Monica Ferreira (mofe),Bruno Barbosa (brba),Catalyst,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
7031905,8211895,8211895,Henrique Neves (hene),Bruno Barbosa (brba),Catalyst,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
8613572,7306140,7306140,Marcos Melo (mame),Henrique Ribeiro (heri),Zenith,2026-01-02,BUSINESS DAY,5.75,4.50,0.00,false,false
1085302,2838286,2838286,Karen Figueiredo (kafi),Larissa Campos (laca),Solaris,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
1791175,2286488,2286488,Mateus Duarte (madu),Paulo Guimarães (pagu),Nebula,2026-01-02,BUSINESS DAY,2.75,4.50,0.00,false,false
8547217,1076853,1076853,Leonardo Ramos (lera),Renata Silva (resi),Momentum,2026-01-02,BUSINESS DAY,2.50,4.50,0.00,false,false
3497192,7306140,7306140,Antonio Santos (ansa),Henrique Ribeiro (heri),Zenith,2026-01-02,BUSINESS DAY,0.00,4.50,0.00,false,false
9313495,2838286,2838286,Daniel Costa (daco),Larissa Campos (laca),Solaris,2026-01-02,BUSINESS DAY,5.75,4.50,0.00,false,false
7789549,3124395,3124395,Vitor Coelho (vico),Yuri Pereira (yupe),Horizon,2026-01-02,BUSINESS DAY,7.75,4.50,0.00,false,false
9944181,8211895,8211895,Mariana Lopes (malo),Bruno Barbosa (brba),Catalyst,2026-01-02,BUSINESS DAY,2.75,4.50,0.00,false,false
1822016,2286488,2286488,Victor Teixeira (vite),Paulo Guimarães (pagu),Nebula,2026-01-03,WEEKEND,0.00,0.00,0.00,false,true
4558699,1527904,1527904,Leticia Borges (lebo),Giovanna Teixeira (gite),Vortex,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
1955654,8211895,8211895,Ricardo Carvalho (rica),Bruno Barbosa (brba),Catalyst,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
9853487,7306140,7306140,Marcelo Batista (maba),Henrique Ribeiro (heri),Zenith,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
1371017,1527904,1527904,Thiago Correia (thco),Giovanna Teixeira (gite),Vortex,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
3011510,1527904,1527904,Yuri Guimarães (yugu),Giovanna Teixeira (gite),Vortex,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
3144625,1527904,1527904,Carlos Moraes (camo),Giovanna Teixeira (gite),Vortex,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
5545591,2286488,2286488,Luiza Rocha (luro),Paulo Guimarães (pagu),Nebula,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
3700238,1076853,1076853,Simone Medeiros (sime),Renata Silva (resi),Momentum,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
6755147,3124395,3124395,Clara Barros (clba),Yuri Pereira (yupe),Horizon,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
2014660,1527904,1527904,Natalia Araújo (naar),Giovanna Teixeira (gite),Vortex,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
9651226,2838286,2838286,Rafael Freitas (rafr),Larissa Campos (laca),Solaris,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
7323459,3124395,3124395,Vanessa Castro (vaca),Yuri Pereira (yupe),Horizon,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
2453712,1076853,1076853,Helena Moreira (hemo),Renata Silva (resi),Momentum,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
6040292,1076853,1076853,Roberto Souza (roso),Renata Silva (resi),Momentum,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
2322236,8211895,8211895,Monica Ferreira (mofe),Bruno Barbosa (brba),Catalyst,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
7031905,8211895,8211895,Henrique Neves (hene),Bruno Barbosa (brba),Catalyst,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
8613572,7306140,7306140,Marcos Melo (mame),Henrique Ribeiro (heri),Zenith,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
1085302,2838286,2838286,Karen Figueiredo (kafi),Larissa Campos (laca),Solaris,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
1791175,2286488,2286488,Mateus Duarte (madu),Paulo Guimarães (pagu),Nebula,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
8547217,1076853,1076853,Leonardo Ramos (lera),Renata Silva (resi),Momentum,2026-01-03,WEEKEND,0.00,0.00,0.00,false,false
